"","x"
"563","0"
"564","0"
"565","1"
"566","1"
"567","1"
"568","0"
"569","0"
"570","1"
"571","0"
"572","0"
"573","1"
"574","0"
"575","0"
"576","1"
"577","1"
"578","1"
"579","0"
"580","0"
"581","1"
"582","0"
"583","1"
"584","1"
"585","0"
"586","0"
"587","0"
"588","0"
"589","0"
"590","0"
"591","1"
"592","0"
"593","1"
"594","0"
"595","0"
"596","1"
"597","0"
"598","1"
"599","0"
"600","0"
"601","0"
"602","0"
"603","0"
"604","0"
"605","1"
"606","1"
"607","0"
"608","0"
"609","1"
"610","0"
"611","1"
"612","0"
"613","0"
"614","0"
"615","1"
"616","0"
"617","1"
"618","0"
"619","0"
"620","1"
"621","0"
"622","0"
"623","0"
"624","1"
"625","1"
"626","0"
"627","0"
"628","0"
"629","1"
"630","0"
"631","0"
"632","0"
"633","1"
"634","1"
"635","1"
"636","1"
"637","0"
"638","0"
"639","1"
"640","0"
"641","1"
"642","1"
"643","0"
"644","1"
"645","0"
"646","0"
"647","0"
"648","0"
"649","1"
"650","0"
"651","1"
"652","0"
"653","1"
"654","0"
"655","1"
"656","0"
"657","1"
"658","0"
"659","0"
"660","0"
"661","0"
"662","1"
"663","1"
"664","0"
"665","1"
"666","1"
"667","1"
"668","0"
"669","1"
"670","0"
"671","0"
"672","1"
"673","0"
"674","1"
"675","1"
"676","0"
"677","1"
"678","1"
"679","0"
"680","0"
"681","0"
"682","1"
"683","0"
"684","0"
"685","1"
"686","0"
"687","1"
"688","0"
"689","1"
"690","1"
"691","0"
"692","0"
"693","0"
"694","1"
"695","1"
"696","0"
"697","0"
"698","0"
"699","0"
"700","1"
"701","1"
"702","0"
"703","1"
"704","1"
"705","1"
"706","1"
"707","1"
"708","0"
"709","0"
"710","0"
"711","1"
"712","1"
"713","1"
"714","0"
"715","0"
"716","0"
"717","0"
"718","0"
"719","1"
"720","0"
"721","0"
"722","1"
"723","1"
"724","1"
"725","1"
"726","1"
"727","1"
"728","1"
"729","1"
"730","0"
"731","1"
"732","1"
"733","0"
"734","0"
"735","0"
"736","1"
"737","1"
"738","1"
"739","1"
"740","1"
"741","1"
"742","0"
"743","1"
"744","1"
"745","1"
"746","0"
"747","1"
"748","1"
"749","0"
"750","0"
"751","0"
"752","0"
"753","0"
"754","0"
"755","0"
"756","0"
"757","1"
"758","0"
"759","1"
"760","0"
"761","1"
"762","1"
"763","1"
"764","1"
"765","0"
"766","1"
"767","0"
"768","0"
"769","1"
"770","0"
"771","0"
"772","0"
"773","0"
"774","1"
"775","1"
"776","0"
"777","0"
"778","0"
"779","1"
"780","1"
"781","0"
"782","0"
"783","0"
"784","1"
"785","0"
"786","0"
"787","1"
"788","0"
"789","0"
"790","1"
"791","0"
"792","0"
"793","1"
"794","1"
"795","1"
"796","1"
"797","1"
"798","0"
"799","0"
"800","0"
"801","1"
"802","1"
"803","1"
"804","0"
"805","1"
"806","0"
"807","0"
"808","1"
"809","1"
"810","1"
"811","0"
"812","0"
"813","0"
"814","1"
"815","1"
"816","1"
"817","0"
"818","1"
"819","1"
"820","1"
"821","0"
"822","0"
"823","1"
"824","0"
"825","0"
"826","0"
"827","0"
"828","0"
"829","0"
"830","0"
"831","0"
"832","0"
"833","0"
"834","0"
"835","0"
"836","1"
"837","1"
"838","0"
"839","0"
"840","1"
"841","0"
"842","0"
"843","1"
"844","0"
"845","0"
"846","1"
"847","0"
"848","1"
"849","0"
"850","0"
"851","0"
"852","1"
"853","1"
"854","0"
"855","0"
"856","0"
"857","1"
"858","0"
"859","1"
"860","0"
"861","1"
"862","1"
"863","0"
"864","0"
"865","0"
"866","0"
"867","1"
"868","0"
"869","0"
"870","1"
"871","0"
"872","0"
"873","0"
"874","1"
"875","0"
"876","1"
"877","0"
"878","0"
"879","1"
"880","1"
"881","0"
"882","1"
"883","0"
"884","0"
"885","0"
"886","0"
"887","1"
"888","1"
"889","1"
"890","0"
"891","0"
"892","1"
"893","0"
"894","0"
"895","0"
"896","0"
"897","1"
"898","0"
"899","1"
"900","0"
"901","0"
"902","0"
"903","1"
"904","0"
"905","1"
"906","0"
"907","0"
"908","0"
"909","0"
"910","0"
"911","0"
"912","0"
"913","0"
"914","0"
"915","0"
"916","0"
"917","0"
"918","1"
"919","1"
"920","1"
"921","0"
"922","0"
"923","1"
"924","1"
"925","1"
"926","0"
"927","0"
"928","0"
"929","0"
"930","0"
"931","0"
"932","1"
"933","0"
"934","1"
"935","0"
"936","1"
"937","0"
"938","1"
"939","1"
"940","1"
"941","1"
"942","0"
"943","1"
"944","1"
"945","0"
"946","1"
"947","0"
"948","0"
"949","1"
"950","1"
"951","0"
"952","0"
"953","0"
"954","0"
"955","0"
"956","0"
"957","0"
"958","0"
"959","0"
"960","0"
"961","0"
"962","0"
"963","0"
"964","0"
"965","0"
"966","0"
"967","1"
"968","1"
"969","0"
"970","1"
"971","1"
"972","0"
"973","0"
"974","1"
"975","1"
"976","0"
"977","0"
"978","0"
"979","0"
"980","0"
"981","0"
"982","0"
"983","0"
"984","1"
"985","1"
"986","1"
"987","1"
"988","0"
"989","0"
"990","1"
"991","0"
"992","1"
"993","0"
"994","0"
"995","0"
"996","1"
"997","0"
"998","0"
"999","1"
"1000","0"
"1001","1"
"1002","0"
"1003","0"
"1004","0"
"1005","1"
"1006","0"
"1007","0"
"1008","0"
"1009","1"
"1010","0"
"1011","1"
"1012","0"
"1013","0"
"1014","0"
"1015","0"
"1016","0"
"1017","1"
"1018","1"
"1019","0"
"1020","0"
"1021","0"
"1022","0"
"1023","0"
"1024","0"
"1025","1"
"1026","1"
"1027","0"
"1028","0"
"1029","0"
"1030","0"
"1031","1"
"1032","0"
"1033","0"
"1034","1"
"1035","1"
"1036","0"
"1037","1"
"1038","0"
"1039","0"
"1040","1"
"1041","0"
"1042","1"
"1043","1"
"1044","0"
"1045","1"
"1046","0"
"1047","0"
"1048","0"
"1049","0"
"1050","1"
"1051","1"
"1052","0"
"1053","0"
"1054","0"
"1055","1"
"1056","0"
"1057","0"
"1058","1"
"1059","1"
"1060","0"
"1061","1"
"1062","0"
"1063","1"
"1064","1"
"1065","1"
"1066","0"
"1067","1"
"1068","0"
"1069","1"
"1070","1"
"1071","0"
"1072","0"
"1073","1"
"1074","0"
"1075","0"
"1076","0"
"1077","1"
"1078","0"
"1079","0"
"1080","0"
"1081","0"
"1082","0"
"1083","1"
"1084","0"
"1085","0"
"1086","1"
"1087","0"
"1088","1"
"1089","0"
"1090","0"
"1091","1"
"1092","1"
"1093","1"
"1094","0"
"1095","1"
"1096","1"
"1097","0"
"1098","0"
"1099","0"
"1100","1"
"1101","1"
"1102","0"
"1103","1"
"1104","1"
"1105","0"
"1106","1"
"1107","0"
"1108","1"
"1109","0"
"1110","1"
"1111","0"
"1112","0"
"1113","1"
"1114","1"
"1115","0"
"1116","0"
"1117","0"
"1118","1"
"1119","1"
"1120","1"
"1121","0"
"1122","0"
"1123","1"
"1124","0"
"1125","0"
"1126","1"
"1127","0"
"1128","0"
"1129","1"
"1130","1"
"1131","0"
"1132","1"
"1133","0"
"1134","0"
"1135","1"
"1136","0"
"1137","0"
"1138","1"
"1139","1"
"1140","1"
"1141","1"
"1142","1"
"1143","0"
"1144","0"
"1145","1"
"1146","1"
"1147","1"
"1148","0"
"1149","1"
"1150","0"
"1151","1"
"1152","1"
"1153","0"
"1154","0"
"1155","0"
"1156","1"
"1157","1"
"1158","0"
"1159","1"
"1160","0"
"1161","0"
"1162","0"
"1163","1"
"1164","1"
"1165","1"
"1166","1"
"1167","0"
"1168","0"
"1169","0"
"1170","1"
"1171","1"
"1172","0"
"1173","0"
"1174","1"
"1175","0"
"1176","0"
"1177","1"
"1178","0"
"1179","0"
"1180","1"
"1181","1"
"1182","1"
"1183","1"
"1184","1"
"1185","1"
"1186","0"
"1187","0"
"1188","1"
"1189","0"
"1190","1"
"1191","1"
"1192","0"
"1193","0"
"1194","1"
"1195","0"
"1196","0"
"1197","0"
"1198","0"
"1199","0"
"1200","1"
"1201","0"
"1202","0"
"1203","0"
"1204","1"
"1205","0"
"1206","0"
"1207","0"
"1208","1"
"1209","0"
"1210","0"
"1211","1"
"1212","0"
"1213","0"
"1214","1"
"1215","0"
"1216","0"
"1217","0"
"1218","0"
"1219","0"
"1220","0"
"1221","0"
"1222","0"
"1223","1"
"1224","0"
"1225","1"
"1226","0"
"1227","0"
"1228","0"
"1229","0"
"1230","1"
"1231","1"
"1232","0"
"1233","1"
"1234","0"
"1235","1"
"1236","0"
"1237","1"
"1238","0"
"1239","0"
"1240","0"
"1241","1"
"1242","1"
"1243","0"
"1244","0"
"1245","0"
"1246","1"
"1247","1"
"1248","0"
"1249","0"
"1250","0"
"1251","0"
"1252","0"
"1253","1"
"1254","1"
"1255","1"
"1256","0"
"1257","1"
"1258","0"
"1259","1"
"1260","0"
"1261","0"
"1262","1"
"1263","0"
"1264","0"
"1265","1"
"1266","1"
"1267","1"
"1268","1"
"1269","0"
"1270","1"
"1271","1"
"1272","0"
"1273","1"
"1274","1"
"1275","1"
"1276","0"
"1277","1"
"1278","0"
"1279","0"
"1280","1"
"1281","1"
"1282","0"
"1283","0"
"1284","1"
"1285","1"
"1286","1"
"1287","0"
"1288","1"
"1289","0"
"1290","0"
"1291","0"
"1292","0"
"1293","0"
"1294","1"
"1295","1"
"1296","1"
"1297","0"
"1298","1"
"1299","1"
"1300","0"
"1301","0"
"1302","0"
"1303","1"
"1304","0"
"1305","0"
"1306","0"
"1307","0"
"1308","0"
"1309","0"
"1310","0"
"1311","1"
"1312","1"
"1313","1"
"1314","1"
"1315","1"
"1316","1"
"1317","0"
"1318","1"
"1319","0"
"1320","0"
"1321","0"
"1322","1"
"1323","1"
"1324","1"
"1325","1"
"1326","1"
"1327","0"
"1328","0"
"1329","0"
"1330","0"
"1331","1"
"1332","1"
"1333","0"
"1334","1"
"1335","0"
"1336","0"
"1337","1"
"1338","1"
"1339","0"
"1340","0"
"1341","1"
"1342","1"
"1343","0"
"1344","1"
"1345","0"
"1346","1"
"1347","1"
"1348","1"
"1349","0"
"1350","0"
"1351","0"
"1352","1"
"1353","1"
"1354","0"
"1355","1"
"1356","0"
"1357","0"
"1358","0"
"1359","0"
"1360","1"
"1361","0"
"1362","0"
"1363","0"
"1364","0"
"1365","1"
"1366","0"
"1367","1"
"1368","1"
"1369","0"
"1370","0"
"1371","0"
"1372","0"
"1373","0"
"1374","0"
"1375","0"
"1376","1"
"1377","0"
"1378","1"
"1379","1"
"1380","0"
"1381","0"
"1382","0"
"1383","1"
"1384","0"
"1385","1"
"1386","0"
"1387","1"
"1388","0"
"1389","1"
"1390","0"
"1391","1"
"1392","1"
"1393","0"
"1394","0"
"1395","1"
"1396","0"
"1397","1"
"1398","0"
"1399","1"
"1400","0"
"1401","0"
"1402","0"
"1403","0"
"1404","1"
"1405","1"
"1406","1"
"1407","0"
"1408","0"
"1409","0"
"1410","0"
"1411","1"
"1412","1"
"1413","0"
"1414","0"
"1415","0"
"1416","1"
"1417","0"
"1418","1"
"1419","0"
"1420","0"
"1421","0"
"1422","1"
"1423","0"
"1424","0"
"1425","0"
"1426","0"
"1427","0"
"1428","0"
"1429","1"
"1430","0"
"1431","0"
"1432","0"
"1433","0"
"1434","0"
"1435","1"
"1436","0"
"1437","0"
"1438","1"
"1439","0"
"1440","0"
"1441","1"
"1442","0"
"1443","1"
"1444","0"
"1445","1"
"1446","0"
"1447","0"
"1448","1"
"1449","0"
"1450","0"
"1451","1"
"1452","1"
"1453","1"
"1454","1"
"1455","0"
"1456","0"
"1457","0"
"1458","0"
"1459","0"
"1460","1"
"1461","0"
"1462","0"
"1463","0"
"1464","0"
"1465","1"
"1466","1"
"1467","1"
"1468","0"
"1469","1"
"1470","0"
"1471","0"
"1472","0"
"1473","0"
"1474","0"
"1475","0"
"1476","0"
"1477","1"
"1478","0"
"1479","0"
"1480","0"
"1481","0"
"1482","0"
"1483","1"
"1484","1"
"1485","1"
"1486","0"
"1487","1"
"1488","0"
"1489","0"
"1490","1"
"1491","0"
"1492","0"
"1493","1"
"1494","0"
"1495","1"
"1496","0"
"1497","0"
"1498","1"
"1499","0"
"1500","0"
"1501","1"
"1502","1"
"1503","1"
"1504","1"
"1505","0"
"1506","0"
"1507","0"
"1508","0"
"1509","1"
"1510","0"
"1511","0"
"1512","1"
"1513","0"
"1514","1"
"1515","1"
"1516","0"
"1517","0"
"1518","0"
"1519","0"
"1520","0"
"1521","0"
"1522","1"
"1523","1"
"1524","0"
"1525","0"
"1526","1"
"1527","0"
"1528","0"
"1529","0"
"1530","0"
"1531","0"
"1532","1"
"1533","0"
"1534","0"
"1535","0"
"1536","1"
"1537","0"
"1538","1"
"1539","1"
"1540","1"
"1541","0"
"1542","1"
"1543","0"
"1544","0"
"1545","0"
"1546","1"
"1547","0"
"1548","0"
"1549","1"
"1550","1"
"1551","1"
"1552","1"
"1553","1"
"1554","1"
"1555","1"
"1556","0"
"1557","1"
"1558","0"
"1559","0"
"1560","1"
"1561","1"
"1562","1"
"1563","1"
"1564","1"
"1565","0"
"1566","0"
"1567","1"
"1568","1"
"1569","0"
"1570","0"
"1571","0"
"1572","1"
"1573","0"
"1574","0"
"1575","1"
"1576","0"
"1577","0"
"1578","0"
"1579","0"
"1580","1"
"1581","1"
"1582","1"
"1583","0"
"1584","0"
"1585","0"
"1586","0"
"1587","1"
"1588","0"
"1589","0"
"1590","1"
"1591","0"
"1592","0"
"1593","1"
"1594","1"
"1595","1"
"1596","0"
"1597","0"
"1598","0"
"1599","1"
"1600","1"
"1601","0"
"1602","1"
"1603","0"
"1604","1"
"1605","1"
"1606","0"
"1607","1"
"1608","0"
"1609","1"
"1610","0"
"1611","1"
"1612","1"
"1613","0"
"1614","1"
"1615","0"
"1616","1"
"1617","0"
"1618","1"
"1619","1"
"1620","0"
"1621","0"
"1622","1"
"1623","1"
"1624","1"
"1625","1"
"1626","0"
"1627","0"
"1628","0"
"1629","0"
"1630","0"
"1631","0"
"1632","0"
"1633","1"
"1634","0"
"1635","1"
"1636","0"
"1637","1"
"1638","1"
"1639","0"
"1640","0"
"1641","1"
"1642","0"
"1643","0"
"1644","1"
"1645","0"
"1646","0"
"1647","1"
"1648","0"
"1649","1"
"1650","1"
"1651","1"
"1652","1"
"1653","0"
"1654","0"
"1655","1"
"1656","0"
"1657","1"
"1658","1"
"1659","0"
"1660","1"
"1661","1"
"1662","0"
"1663","1"
"1664","0"
"1665","0"
"1666","1"
"1667","0"
"1668","0"
"1669","1"
"1670","0"
"1671","1"
"1672","0"
"1673","1"
"1674","0"
"1675","0"
"1676","0"
"1677","0"
"1678","0"
"1679","1"
"1680","0"
"1681","0"
"1682","1"
"1683","0"
"1684","1"
"1685","1"
"1686","0"
"1687","0"
"1688","0"
"1689","0"
"1690","1"
"1691","1"
"1692","1"
"1693","0"
"1694","1"
"1695","0"
"1696","1"
"1697","1"
"1698","0"
"1699","1"
"1700","0"
"1701","1"
"1702","0"
"1703","1"
"1704","1"
"1705","1"
"1706","0"
"1707","0"
"1708","1"
"1709","0"
"1710","1"
"1711","1"
"1712","1"
"1713","0"
"1714","1"
"1715","0"
"1716","0"
"1717","1"
"1718","0"
"1719","0"
"1720","1"
"1721","1"
"1722","0"
"1723","1"
"1724","1"
"1725","1"
"1726","1"
"1727","1"
"1728","0"
"1729","0"
"1730","1"
"1731","0"
"1732","0"
"1733","0"
"1734","1"
"1735","1"
"1736","0"
"1737","0"
"1738","0"
"1739","1"
"1740","1"
"1741","0"
"1742","0"
"1743","0"
"1744","0"
"1745","0"
"1746","0"
"1747","0"
"1748","1"
"1749","0"
"1750","1"
"1751","0"
"1752","1"
"1753","1"
"1754","0"
"1755","0"
"1756","1"
"1757","1"
"1758","0"
"1759","1"
"1760","0"
"1761","0"
"1762","0"
"1763","1"
"1764","1"
"1765","1"
"1766","1"
"1767","0"
"1768","0"
"1769","0"
"1770","0"
"1771","1"
"1772","0"
"1773","0"
"1774","0"
"1775","1"
"1776","1"
"1777","0"
"1778","0"
"1779","0"
"1780","0"
"1781","0"
"1782","0"
"1783","0"
"1784","1"
"1785","0"
"1786","1"
"1787","1"
"1788","0"
"1789","0"
"1790","0"
"1791","1"
"1792","1"
"1793","0"
"1794","0"
"1795","0"
"1796","0"
"1797","1"
"1798","0"
"1799","1"
"1800","1"
"1801","0"
"1802","0"
"1803","1"
"1804","1"
"1805","1"
"1806","1"
"1807","0"
"1808","1"
"1809","0"
"1810","0"
"1811","0"
"1812","0"
"1813","1"
"1814","0"
"1815","1"
"1816","0"
"1817","0"
"1818","1"
"1819","1"
"1820","1"
"1821","0"
"1822","0"
"1823","0"
"1824","0"
"1825","0"
"1826","1"
"1827","1"
"1828","0"
"1829","0"
"1830","0"
"1831","0"
"1832","1"
"1833","0"
"1834","0"
"1835","0"
"1836","0"
"1837","0"
"1838","0"
"1839","0"
"1840","0"
"1841","0"
"1842","1"
"1843","1"
"1844","0"
"1845","1"
"1846","0"
"1847","1"
"1848","0"
"1849","0"
"1850","0"
"1851","0"
"1852","1"
"1853","0"
"1854","0"
"1855","0"
"1856","0"
"1857","1"
"1858","1"
"1859","0"
"1860","0"
"1861","0"
"1862","1"
"1863","1"
"1864","0"
"1865","0"
"1866","1"
"1867","0"
"1868","0"
"1869","0"
"1870","0"
"1871","0"
"1872","1"
"1873","0"
"1874","0"
"1875","1"
"1876","0"
"1877","0"
"1878","1"
"1879","1"
"1880","0"
"1881","1"
"1882","1"
"1883","1"
"1884","0"
"1885","0"
"1886","1"
"1887","0"
"1888","1"
"1889","1"
"1890","1"
"1891","0"
"1892","0"
"1893","0"
"1894","1"
"1895","0"
"1896","1"
"1897","0"
"1898","1"
"1899","1"
"1900","0"
"1901","1"
"1902","0"
"1903","0"
"1904","1"
"1905","1"
"1906","1"
"1907","1"
"1908","1"
"1909","0"
"1910","1"
"1911","0"
"1912","1"
"1913","1"
"1914","0"
"1915","0"
"1916","1"
"1917","0"
"1918","0"
"1919","1"
"1920","0"
"1921","0"
"1922","0"
"1923","1"
"1924","1"
"1925","0"
"1926","0"
"1927","0"
"1928","1"
"1929","0"
"1930","1"
"1931","0"
"1932","0"
"1933","1"
"1934","1"
"1935","0"
"1936","1"
"1937","0"
"1938","0"
"1939","1"
"1940","0"
"1941","1"
"1942","1"
"1943","1"
"1944","0"
"1945","1"
"1946","1"
"1947","0"
"1948","0"
"1949","0"
"1950","0"
"1951","0"
"1952","0"
"1953","1"
"1954","0"
"1955","1"
"1956","1"
"1957","1"
"1958","0"
"1959","0"
"1960","0"
"1961","0"
"1962","0"
"1963","0"
"1964","1"
"1965","0"
"1966","0"
"1967","0"
"1968","0"
"1969","0"
"1970","0"
"1971","0"
"1972","0"
"1973","0"
"1974","0"
"1975","0"
"1976","0"
"1977","0"
"1978","0"
"1979","1"
"1980","1"
"1981","0"
"1982","1"
"1983","0"
"1984","0"
"1985","0"
"1986","0"
"1987","0"
"1988","0"
"1989","0"
"1990","0"
"1991","1"
"1992","1"
"1993","1"
"1994","0"
"1995","0"
"1996","1"
"1997","0"
"1998","0"
"1999","0"
"2000","1"
